bhsf,bhtoc
13896.388591247744,13196.771449003256
13289.166274990084,17116.03774820085
18915.061952026863,29357.75671270494
20588.770253644852,25086.115179384728
14085.435063227425,11364.197448949966
7101.674997340149,6885.195591384909
5464.1147226186695,4878.580384089118
4715.986816375737,3560.6672231191374
4189.589407169274,2972.7251246554906
3946.532564757141,3521.3913320254387
5481.459917574902,6260.904566555608
6112.416536700788,7428.109321590752
10999.842692875867,11805.853134844123
13386.45353158329,16524.626774567583
9534.51594690418,15417.945008973944
5975.919135837491,10595.677997527277
4172.157143412992,6334.674305516652
3765.022749970164,4247.142099056764
3401.2007973641776,2848.7976561191804
2884.9727915105636,1859.749387878112
2613.3378234739303,1790.2041598588055
2776.537509476798,2733.947495458538
5234.355798097515,4969.697272126047
10242.79884973819,7977.798316580542
14415.579158652848,12422.4957508209
16487.366085739573,15638.465758763616
10018.95499305108,15118.51820675766
7980.832324150828,15012.508171974256
5696.911521120436,8871.542282202106
3951.9151155680183,4737.142946443489
3631.3232928576244,3009.214231298858
3139.728905451141,2151.905898819319
2671.9903377888754,1792.0318554447588
3136.5454926883203,2185.8054054085787
5135.011010643091,5874.542496598544
9062.078209933168,11318.536325584322
16899.753985404084,15201.686877348435
13489.069797453241,14966.291174690223
7810.938410802271,15800.0898595314
4820.362451366908,13748.566070080316
5112.081786057403,8998.008470378989
3436.1987634900524,4615.310895118667
2878.5100234687397,2918.084614837482
2598.2618465537025,2040.2235908781863
2872.9441387843053,1613.6426556853341
2845.6294949983785,1863.771332308952
2670.573026734989,3287.052331884176
4591.862127931245,7252.15557694507
12200.989588281514,15834.47769243386
16414.086201302904,23140.173724615735
16873.872296626414,23857.19635074477
13269.931603728452,26851.156149121172
12144.283152062022,16634.29435156866
5990.739409478356,8885.356314471032
4575.387906587926,5338.348556145866
3674.7858604402327,4050.928169584117
3108.1984786100584,3179.623934780327
3094.00609672919,3674.39783036371
3496.8265046961023,5962.317066370075
6688.346076342712,10361.108248330067
8034.614094918588,11436.228144613066
7411.771019874234,15938.353693706347
11788.763345961317,20894.992616243893
8546.807911399006,18247.29533199001
6232.030472389308,11372.736137640748
3840.2177216543464,5747.668870912519
3184.1601163679043,3736.388533771474
2731.6608110126544,2734.3548284022127
2519.0394913009454,2191.0463575047274
2820.6592217034377,2447.9417856793384
4277.5916101773255,4073.8696550216982
7522.833917777101,6743.639501375197
13095.414986376905,9634.554572981348
16134.498785804773,12891.309295122015
13291.863867120763,13556.566069876439
9421.684404461701,13833.551334214257
6965.875898007413,9141.191291799534
4304.66182623764,4553.189473461389
3597.848838534509,2904.3659122860654
3013.5892004699404,1965.8393183683527
2630.5537589078713,1133.7675187475375
2644.3651900095383,2633.9634736840508
6372.435967170206,6243.717933123849
13346.725900647649,13092.991529108313
17732.399858832643,15550.02693465183
13372.134123418626,15062.900845992262
11494.978774909425,15102.589042141488
7134.832443135708,13081.176084305493
5009.332819379393,7783.545785394636
4152.714894361167,4289.822164034567
3398.523717732258,2801.2526325558574
2999.7905043403425,1984.9641505170327
2801.9962538373866,1541.8245602854452
2670.5629402919017,1926.0757693808262
4056.4381223935557,3110.5692404922215
8886.257808326765,7068.736224271689
15137.564214794467,12870.148533883008
17095.218934420496,16202.897167432095
15547.596289389268,12620.17470471389
6522.441746931898,11568.895819286796
4814.980615515307,7017.505497694025
3796.585787798098,3960.3405933612116
3261.587515923301,3025.813972510377
3026.0598558221304,2134.4220534499764
2753.457853235383,1926.2239548807315
3645.738548310688,3696.219807189692
3056.642330579981,5871.670622203686
4940.20182449415,7087.189678781026
9248.719421956528,13732.721260746115
13892.393533573424,26609.464428770138
18459.354034635988,33569.33375016486
14029.8474556665,22812.077295821815
6035.310569977428,12019.439642600733
4267.658758490208,7263.2334366306695
3477.468415391483,5028.568975207552
3103.4035868850756,3857.9986039861924
2550.985420286364,3493.1025730708
2721.540882785711,3847.1278120066254
5380.217306885868,6812.334695281251
12105.961225203933,11020.239109430619
14285.320505519026,14157.286153804409
13821.633587211993,15213.216375600889
13634.13684213956,16900.276436323657
13939.27604819316,16962.541295320912
8978.793916415734,8728.08267291511
4914.594515685896,4699.227153110343
4130.288818353463,3246.9742177801586
3710.9268911551576,2438.527508026288
2983.706017416728,1958.4904418981025
3196.478615785663,3281.2359562521406
4687.065507163161,6465.365214019389
6946.310542313429,9479.585492178285
13023.075142685237,13510.893371161113
13672.40002723369,20152.90608573178
14964.801940176802,23742.96922917314
10701.395503912147,16472.043611219942
6882.909624287015,9774.74348932409
4549.6620907083525,5569.151890787861
3801.1731547471336,3649.1784111581774
3257.4927141766825,2627.5024394638453
2970.754954776089,3061.528068500592
3767.092908825284,4571.16466866098
6028.261103431079,6970.151647353132
14961.257454622344,15755.143374307952
18943.4989531646,31482.463335608656
26290.440049951445,33738.9886712123
24812.876966001873,29163.517061223934
15821.69093999209,23592.63916433515
8757.211074743942,13608.468792392385
6250.61531075641,7271.984262744181
5241.90185839779,5136.329250598693
4464.476529509521,3933.7699309256764
3837.588752262126,2887.114827623205
3930.9126464482406,4200.27991394017
6123.213581385,8014.574599887714
14765.11749818573,15350.559473910893
17984.39712646783,15274.469961951996
14842.551880189207,17298.712178743597
14853.174715898436,16963.222401235893
11393.17547604554,14775.665267405435
7583.709568052486,7940.172486601875
5090.117368607758,4728.816155343846
4288.896616998729,3226.3301733423687
3716.303474799836,2318.898165470467
3217.246698893754,1651.2266369494819
2809.1700999464656,2213.4941059561506
4758.790061253039,4490.62593561153
10609.418526378922,10167.729714641817
16382.891364750743,24181.009205565115
20215.57245268493,28559.92483111035
23347.282072089885,28211.138646153748
21613.92248075168,28863.032800638164
25180.597045394905,19081.684897583826
12700.835638132856,11083.959803115655
7624.262071694493,6336.469251476264
6073.761803671801,4592.579418440602
4990.14244559784,3636.528754058301
5360.199794123986,5897.948298597417
8968.217496170375,10861.120439967055
15968.909362551658,18409.94490381138
20529.38949582541,21545.025522055283
30046.831564229524,18335.060446352913
13813.26205471675,16410.81119577594
15899.206985169465,14205.878058148835
10856.019734133137,8723.386852024409
7231.734224599897,5594.97076377988
5832.976249897474,3534.0095832661873
5008.745687621014,2440.379324498832
4306.822639417221,2000.5612622984904
4408.478242708085,1834.6244976063078
5834.369562592873,3621.327667465202
10972.31101282463,5354.871368762144
10996.43706099294,9664.582234992471
14728.518174856079,15262.2331654228
18000.776442319893,23330.01689603238
22460.166697310764,23867.77348112369
13768.024270795124,11763.349840681412
6929.981558681822,6189.250386324939
5632.676552836045,4197.71710073069
4783.248552233304,3658.6825428543452
4619.5913404438215,2984.7153295370135
4199.654078165767,3590.4410310829403
8765.7281638189,7262.300409747467
12303.865614114437,11016.56480397196
17797.517864976486,14561.95302220463
13515.924542691022,13949.07538194166
16110.888180866015,17382.65578946548
12225.204806734348,15598.326987464297
6528.414319902014,7970.328575037402
5331.764729129998,4503.792164991066
4571.891237046297,3109.8221648224326
3937.0753623992196,2224.2377035442637
3442.244091774218,1916.8655551913753
3585.598998352387,2282.973636734241
4323.577908085339,3802.3484572699913
14080.21032031194,18056.85318129596
21712.173985747002,19604.07622539013
27170.392115917162,23974.05836180483
36651.51136390243,19549.950517732177
22713.714053231142,15144.249916958948
10516.331396532565,9140.21546766666
7665.333011233654,5024.970103575882
6299.5180618919785,2992.725234187965
5308.930228544352,2083.0129062502047
4507.278763274422,1517.4978385516458
4129.823357651476,1770.6050900962714
8126.3997948682645,3774.6453278825184
8584.67386086161,6064.367000952884
13296.441442687134,6574.112871776864
13468.89125806264,8018.145238398221
10630.11428009589,12728.138432047508
11304.217249872745,12517.627859816257
7911.019180723342,8529.055883056759
5101.018104925193,4016.5075472118046
4396.747468358331,2536.119491104518
3806.558646154798,1943.528407518201
3148.4903124361354,1598.8746746214717
3625.2597863319716,1997.6916529816567
5678.138671324412,3730.3565945490845
11899.812972903608,5852.822466799923
12690.236348538845,8720.17804592313
12220.23886703025,10247.881816180025
13790.478966131765,10685.402693417745
14288.876495957542,12889.62908772077
7974.435727714372,8073.855399437142
5446.407254352206,4703.447216565357
4372.831918314632,2781.842750289352
3730.320005965337,1927.8772436199413
3231.6875121474814,1535.6690989244114
2969.2740014559813,1484.584853609002
2816.2759864737673,1627.3679870283893
4250.845456328512,4496.079279164098
9477.143013656892,6696.931406147002
13554.344810014794,6288.153085298836
17363.612039588446,15165.681864754086
20254.619903449253,12276.29156287355
10390.281723484197,8686.808567520191
5801.629255045276,4018.276169719335
4726.0405652212885,2387.380688535031
3856.5836948558817,1643.7480947993456
3409.6362201328384,1395.2200311926965
3385.9599055282097,1343.834337446971
4639.12795749506,2267.0091685999014
9768.923989998828,7085.046227428091
11196.277940400643,7829.4731476749685
5221.686033215501,5991.1321957783775
7681.30676557408,8373.379974411377
11099.44478941293,9805.362582551103
6038.0667949291665,5891.132732100541
3869.560540833805,2871.0430343561766
3228.366523352986,1837.2996688906917
2835.430832450721,1402.3380619872744
2509.2800483663414,1296.950946357244
3095.9457858508904,2343.7834079347754
4343.992502511663,3450.669853929534
8763.340731934233,7154.993582212628
13491.446852885583,10126.198382024852
7965.0232724116195,13226.165391765731
8868.555616672442,11171.40009247723
7218.118630321122,11827.030875903183
4267.243943149714,7439.913581405272
3603.031890413072,4183.461222522629
2859.7021884962114,2579.0938952614906
2497.4780112184476,1635.526745426433
2098.10969067777,1222.0749197187015
1874.6143706994685,1042.369242882391
2485.753229251043,2013.9413757505956
9518.11768671454,7967.9796330361405
7715.835987017406,8194.745407553315
11737.368367547204,11568.153798449719
6602.754343274667,9861.101816288932
7577.516869765084,10764.670899943008
4564.701621913403,6362.55434303871
3132.8129807944997,3503.6383262293552
2636.1700681041693,2220.2217173684526
2301.858978146061,1623.2831541509347
1988.7491942781726,1359.4957259909766
1904.7824771794367,1668.984120703506
5319.581603888554,3272.7550678909256
9352.611114873273,7440.055323644281
15293.59812249197,10658.917656706206
7590.685462082307,7930.016999542012
12727.40339967195,14247.62058405604
8438.448363120879,11066.671535357935
5030.238948040121,8277.724155686885
4790.865484641698,4752.849281541055
4002.2715083751186,2962.467401562487
3113.2740347377085,2217.6780615205985
2666.269746020451,1844.8618326688102
2435.0201727920057,1935.0228347105628
3728.344843211711,7611.374054458674
10605.85246595744,16500.929723019908
17107.40492680898,25542.27951394829
20600.07855594738,23823.21317188886
21328.939858469967,31306.134578354413
23498.040928337054,33886.03438662113
18238.036765154586,16239.345108590329
8505.49751377274,9001.636317039724
5944.1602195066935,5217.197385403995
4851.62092391917,3751.9338580929925
4010.232640514184,3035.561793065238
4361.064199259019,3145.9146910229856
4099.961429980041,3271.7700325806754
12158.209809645734,7037.147600726491
11287.006077519418,11252.69605438114
14585.594095435155,19898.414932910022
10718.944434626508,17470.087296544167
9092.898516687561,19527.107992150926
7232.313785286764,12943.594492200376
4964.435393624255,6655.738061737387
4088.1515190170576,3714.103901819173
4128.046548505993,2606.756259107902
3211.9278611996638,2111.181824732308
4153.365348864189,2448.7200868319924
5425.705085080652,3125.1164658680245
4736.3287627910395,4884.068439864042
10353.68148016392,20214.121850580425
11058.242376505848,19993.035403144968
9863.14181049891,19310.46834769598
8553.530350265173,15568.215098520406
4086.95039228631,8929.883778147856
3299.4295309760746,5058.895204959183
2944.800478337648,3275.258947818929
2614.5894879901043,2252.159915477718
2358.811758641339,1676.2953510423733
2391.5268908742696,1903.1488951547583
4500.495148186843,3445.641707068785
7527.9541118017505,4473.832851410392
9483.115402454767,10419.684322876326
16276.802340844206,19624.723485869406
24954.413124578532,24574.232836265255
20314.676633190233,19500.996892765448
7562.0027533768525,10369.373714508933
5232.136485308409,6001.03765207077
4026.6091130784025,3657.6471314340943
3345.8229267679385,2419.291484132974
2861.8290657991556,1775.8226917517845
2601.837653092831,1868.2389779477094
3044.4537017581442,3452.111829075513
11079.420158439263,8077.239674481214
16350.269858478801,13574.211596517065
22361.596153270904,19130.92373556921
19091.33918593009,17936.48391177794
10893.402374804897,12879.495701953192
6870.662393146767,8382.5590197207
5161.108909366151,4344.753008921855
4066.1283780630447,2644.3421068685716
3451.6529994249113,2036.1775461899797
2905.5247810914916,1595.5968484140033
2517.435031122256,1431.551242074721
3046.0362743444884,1884.2644919455372
4474.859962449438,3611.045300242655
10022.47180172694,6713.7963563552485
15556.124768306556,11054.686252425374
13102.939432051495,13898.178671416395
9948.891261486478,10986.234171436909
5871.206415384293,6767.428503057972
4351.166916967766,3238.282001922097
3643.5466192048125,2156.4058430593145
3005.5422933104537,1689.217811078576
2434.750664372862,1522.3132136984873
3188.3832011405857,1967.2863548127114
5414.7806999873155,2951.0998279032115
8606.742096806885,7129.064786709733
16115.52001505413,12296.91003049637
19064.966142181573,14573.94584706448
11022.114411279137,12829.907533683274
5029.391944284544,9056.11676758503
4148.354512776022,7225.474100615812
3264.9183898824313,3825.446870290015
2872.356501539489,2729.9118877352644
2615.625946503217,2070.0694222197676
2316.08346172908,1602.6759469604879
2094.9835009318663,1392.6642356284067
2504.093309456074,2182.147899585745
3335.563431945874,3017.7467637542013
9706.425751160132,15944.828417995466
22702.642909863065,23698.569564858764
16748.21091537721,18327.97088133548
8331.585151148354,14824.2949301944
4815.438488332404,9257.895970656247
3445.0161296392134,4757.016038309813
2964.68006379452,2943.898371465289
2703.139308979172,2130.0404399266386
2158.282786264646,1603.9647772190663
2464.657740034018,2597.949423902631
7457.926513727569,4986.874365693306
11915.92257813533,9105.491277372863
15167.342961123843,9677.416705847128
15059.693289326844,12340.007811031997
16206.448185274188,16313.833612617796
17605.97100947615,20226.960035651588
8916.3542485634,12749.129450377022
5474.822054704562,6022.353668262976
4398.416815120381,3485.752208048269
3720.0501439348945,2509.932570221353
3094.7383311563417,2004.5712359663448
3899.6826023890417,3129.1320040364
7381.92704881383,4965.5643606186995
11905.39233879876,8367.104248764002
12783.855383195223,10935.612427254371
17793.857444930734,22770.421985980996
19298.855042966738,20333.542357781684
13998.142198177899,15731.879009597
7890.217864784382,9214.020856164032
5686.661241743015,5205.795531209241
4533.374534366987,3264.17563208143
3999.623775046062,2377.445388491178
3436.4860767475852,1978.4011008869986
3439.8172628687716,2515.557572261746
5345.440328828599,3343.67251317418
7315.970339601101,5784.977332479743
14719.900714070944,8442.247462863292
13802.078327624244,11424.476795261875
12768.123409896563,14800.631240272744
12762.113339899806,15425.794467726344
8034.108047726908,9854.494195143181
4579.7756640694715,4921.705269959586
3828.782728480718,2952.2542984058446
3318.7750176251548,2143.366114345579
2847.51949359215,1754.5350371362865
2617.0935453777633,1828.7585019168255
4551.016779373812,3633.3029882519077
11026.793115909695,6182.737353812126
15665.54192619647,8834.031726535306
13860.68441805907,13108.165643053399
19006.949836750744,26196.24764199814
15626.773462158366,16890.57632667414
7114.720626370125,10321.317611678382
4805.796038828624,5202.447035319878
4162.524584662902,3156.854716128486
3774.7015473340425,2323.581958685033
3594.181898081961,2035.6315546380924
3533.2296626443085,2239.774642536492
4860.623471312678,4650.695065096434
12319.030113684032,13755.342492066917
9056.996080853554,10705.433025359776
11754.40307874599,15373.209182481507
12368.233883601697,17125.26489066019
7643.917723876696,12563.18160629082
4809.347549964033,7600.506665436194
3637.9702654689836,4006.57562881089
3207.651469097178,2709.660755721902
2846.942557276025,2004.307417735401
2435.784475011785,1753.3379289874742
2545.3356142700236,1922.3677742639934
6735.854769905869,4111.183648089809
14011.84557552683,9005.21523247218
17576.348557819467,16669.237478471565
18176.908525897852,18251.246096451086
14608.065714071987,23229.460826297935
7671.712524491976,15596.15093270903
5784.277103076352,9781.4961352362
4160.357282416476,4580.734980693482
3667.091441546946,3007.808126311741
3202.707627491076,2266.8414553770817
3081.836621410267,2004.7459299837774
4317.24202158163,2735.125770464432
7860.723954539084,5307.434896753013
8089.397604489101,4812.245688413894
4880.818893121706,4646.909757988753
4170.7950486657255,6133.174864731553
5005.562091542667,8245.37679971232
4792.044394500907,11251.597915386084
3511.856621602017,7132.342046596128
2562.6688499481097,3496.6875405425494
2349.5942724751258,2259.9150724743663
2116.7023316081027,1781.303607598722
2117.325743090709,1613.3821416023554
3096.909361319647,2323.23347406437
6375.401051899675,6072.6326367062875
17686.393341619205,9270.023574703722
15397.350081797682,8127.626399972355
8385.792760717486,10575.488473639678
9838.26965880323,14051.832173992538
8666.042406407058,13099.159676195086
5768.206558955473,6679.57485007504
3701.109098617957,3558.2067624826186
3260.9154042472182,2407.921238971856
3064.9374843935134,1954.1024731393659
2515.7151019475687,1718.0084964374885
3781.323515335328,2399.7990510882933
5624.611165242028,3527.0676695503266
11250.186028917266,8411.826726882668
13406.931498788366,11087.33426640269
11138.529992810192,10499.699128466267
10736.157417932085,15679.562113816693
13376.31526468733,18311.335913478215
6495.719687587337,10533.760933469748
4296.402120947627,5041.058312945828
3656.375111515038,3348.013912913714
2986.851072317837,2526.2771878134517
2454.361888021294,1932.6687672662438
3565.30730703281,3718.0884576331846
9163.928817744196,6173.266017788207
12711.659202965973,10017.92363603234
13444.229514294828,10499.16619538354
10444.48420959459,14897.927000556692
12242.116623434758,23649.140183623917
17544.87157151464,25347.695172892945
9664.92664129715,20208.982215638334
5137.120681618759,9364.171915549814
4084.469295923607,4741.108374498577
3602.9744350664373,3277.3237195003344
3161.3769586605927,2725.0059312591225
3084.4475333202017,3140.4552777009603
5174.554790806482,4551.811588562947
7024.436685427386,6759.525515435
12393.483580829507,9346.612484221978
11856.097146712296,15524.343191577052
8120.049298756802,14206.943217142698
6995.152215122329,17372.28136273732
6177.7665710823385,12655.910288224351
3680.1236168552578,5734.15622293268
3680.885205553952,3636.902938374139
2830.4793166371346,2569.844762759217
2358.7781986373234,2033.2078306854642
2634.8751916761375,2527.8197105117683
6482.359938540658,4266.03774944549
8084.32119326013,5406.658259750566
