retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,peixeangelical,lajeado,estreito,tucurui,saosalvador
116,329,37,1975,2127,2301,2301,878,1009,1939,3124,5603,22082,1149
98,266,37,1359,1410,1425,1425,658,800,1286,1944,3639,12244,851
70,179,30,1060,1109,1122,1122,467,560,941,1310,2368,6018,622
71,173,28,1130,1162,1144,1144,387,470,816,1041,1870,3971,535
65,134,23,987,1021,1081,1081,298,374,662,799,1429,2779,432
76,165,23,968,1068,1073,1073,330,410,729,763,1518,2791,469
61,153,34,984,1139,1189,1189,335,415,702,729,1537,3007,463
88,278,33,1355,1385,1411,1411,393,477,802,946,1921,3610,514
134,282,33,1617,1580,1618,1618,480,612,1180,1451,2815,5112,707
551,1817,43,3742,3420,3282,3282,1039,1190,2444,3307,5876,11900,1319
494,1636,74,5138,5351,5432,5432,1161,1278,2609,4030,6510,16990,1447
402,1389,118,4639,4868,4932,4932,1724,1969,3975,5811,7527,20761,2127
295,1300,109,5139,5262,5481,5481,1499,1654,3244,5369,8896,27720,1830
163,540,67,2340,2555,2727,2727,690,809,1387,2193,4293,21105,921
110,359,54,1470,1539,1613,1613,481,569,954,1280,2583,8940,621
87,273,44,1222,1251,1287,1287,362,444,753,966,2013,4150,481
76,215,34,1125,1159,1173,1173,281,359,625,846,1809,3039,391
79,242,28,1031,1026,1108,1108,248,322,547,736,1586,2510,361
124,367,31,1323,1320,1425,1425,295,373,581,760,1497,2636,379
169,442,59,2095,1872,1949,1949,408,512,981,1351,2172,3625,559
157,602,157,3057,3157,3271,3271,604,731,1272,2080,3303,6600,821
542,2043,214,4651,4693,4733,4733,1458,1703,4283,4633,5692,10608,1919
479,3606,294,9244,9301,9134,9134,3235,3615,8514,12011,17468,32634,3975
191,1328,120,12915,13633,13912,13912,1363,1454,2484,4030,6170,24316,1581
199,847,103,3754,4288,4732,4732,1198,1265,2325,3555,5827,23288,1418
234,641,80,2614,2809,3050,3050,716,841,1431,2110,3698,14035,923
145,394,63,1765,1886,1971,1971,514,601,1016,1323,2136,6200,642
89,324,54,1444,1498,1574,1574,401,477,820,1104,1688,3540,502
72,275,47,1283,1425,1450,1450,318,389,690,924,1384,2705,412
93,344,44,1384,1397,1465,1465,325,396,693,907,1356,2684,413
152,497,49,1860,1854,1925,1925,488,571,917,1105,1629,2863,585
320,1358,100,4269,4087,4069,4069,947,1041,1898,1970,3120,4915,1157
415,1495,105,4814,4863,5068,5068,2153,2327,5081,6064,8117,12159,2514
363,1164,84,5840,6053,6090,6090,1494,1537,3073,4520,6760,15817,1815
424,1452,121,4644,4734,4734,4734,1705,1718,3369,4573,6652,17706,1861
292,992,83,3943,4250,4405,4405,1131,1184,2110,3457,5955,20617,1372
216,805,81,2590,2620,2746,2746,784,886,1560,2604,4521,17662,1001
157,421,56,1801,1886,1965,1965,547,625,1128,1680,2972,10832,696
98,381,47,1439,1467,1486,1486,417,474,829,1152,1835,4773,509
71,270,38,1245,1269,1302,1302,323,378,680,802,1427,3092,406
66,237,32,1105,1143,1279,1279,274,324,596,665,1171,2417,348
71,248,28,981,1052,1130,1130,267,318,558,626,1121,2294,344
189,290,27,1214,1255,1295,1295,299,359,695,802,1456,2663,405
118,292,27,1180,1310,1372,1372,273,328,665,736,1487,3462,361
157,659,57,2046,1883,1897,1897,848,918,1560,1744,2952,6030,1007
515,2301,77,5366,5228,5144,5144,1228,1310,2869,4275,6999,16167,1601
182,681,51,4689,5056,5145,5145,949,1057,2070,3160,6258,22095,1212
347,1483,151,4993,4876,4887,4887,2157,2291,4757,6624,10521,30618,2472
210,649,86,4521,5037,5396,5396,1233,1295,2792,4665,7705,28050,1496
183,538,63,2154,2253,2376,2376,636,725,1258,1807,3284,15118,803
118,344,52,1470,1598,1718,1718,482,542,986,1221,2357,7106,583
100,296,45,1378,1411,1430,1430,380,436,775,939,1826,4392,472
82,230,36,1081,1131,1175,1175,288,341,627,702,1358,3010,372
64,194,29,1022,1104,1197,1197,224,269,526,593,1136,2475,291
64,209,23,782,914,933,933,233,279,515,567,1158,2506,292
90,358,38,989,956,991,992,437,519,942,954,1658,2916,566
264,762,69,3062,3084,3097,3097,759,864,1555,2182,3372,7580,970
175,488,74,2872,3052,3105,3105,1049,1154,1968,2997,5235,14567,1338
278,1316,74,3220,3086,2995,2995,1431,1504,2831,4377,7047,22495,1710
317,867,55,2837,3128,3237,3237,991,1107,1954,3288,5769,23183,1269
162,580,65,2587,2754,2837,2838,1313,1354,2649,5099,8693,26856,1551
137,411,50,1731,1835,1893,1893,750,862,1651,3120,6275,23639,982
102,272,36,1188,1377,1490,1490,497,559,959,1515,3073,11789,606
86,250,30,1087,1103,1122,1122,371,424,739,1016,2024,4972,463
65,172,23,851,960,1012,1012,277,327,600,753,1499,3380,357
65,127,19,672,762,811,811,224,268,516,620,1174,2424,292
110,245,20,895,930,955,955,251,299,565,678,1263,2512,321
135,528,47,1651,1690,1696,1697,415,495,934,1087,1982,4335,528
415,1187,71,3244,3123,3121,3122,1076,1187,2176,2998,4912,9727,1359
440,1486,51,4478,4682,4729,4729,977,1100,2157,3610,5969,15655,1281
229,639,39,2180,2392,2457,2457,682,777,1277,2071,4128,14471,867
225,659,55,2234,2201,2199,2200,849,983,1721,2864,5366,17929,1121
141,408,40,1593,1899,1986,1986,645,747,1334,2661,5634,19985,858
107,283,41,1184,1328,1382,1382,436,508,875,1531,3612,14106,549
90,197,28,934,1072,1079,1079,315,374,667,979,2081,5952,412
73,165,23,785,899,903,903,242,290,551,740,1455,3685,332
71,80,21,668,701,710,710,205,246,490,596,1152,2670,271
73,190,18,699,694,688,688,171,204,440,522,940,2029,224
68,204,23,730,825,824,824,263,306,596,709,1337,2603,353
313,1097,34,1702,1590,1549,1550,426,492,1136,1383,2327,4456,582
384,1272,37,3317,3460,3457,3457,483,537,1145,1704,2912,6223,592
986,3503,52,6202,6092,5991,5991,1481,1658,3013,4591,6982,14595,1837
280,1173,40,4622,5092,5241,5241,939,1059,2002,3606,6231,20543,1197
321,1375,58,4461,4397,4323,4323,2204,2622,5166,7762,10961,29163,2925
217,946,74,4053,4461,4612,4612,1768,1962,4093,7291,11641,38026,2237
158,575,52,2438,2582,2707,2708,868,958,1769,3226,5765,26919,1104
147,562,42,1747,1784,1804,1804,595,635,1136,1712,2965,10800,713
106,404,34,1294,1362,1394,1394,448,468,870,1197,2084,5855,514
87,358,28,1197,1220,1260,1260,323,337,687,877,1555,3769,360
100,254,24,1047,1054,1113,1113,321,340,676,790,1371,3065,362
94,338,23,1052,1062,1152,1153,338,377,741,842,1478,3003,399
114,428,31,1343,1300,1318,1318,394,447,852,1026,1765,3521,553
335,1637,47,3446,3120,3033,3033,708,799,1439,1894,3137,6356,874
291,1240,38,3343,3521,3574,3574,865,991,1712,2388,3925,10514,1085
311,1241,56,3360,3342,3346,3346,1164,1384,2567,3699,5409,13700,1468
168,770,42,3096,3285,3341,3341,856,991,1910,3182,5650,18788,1113
116,511,33,1536,1636,1686,1686,447,508,987,1566,2951,12956,563
92,457,27,1122,1226,1252,1252,286,344,671,966,2028,7242,436
109,379,23,950,974,983,983,204,301,527,664,1271,3772,326
68,256,19,838,839,851,851,162,229,446,537,955,2843,238
68,248,15,751,785,787,787,107,178,375,437,764,1779,189
42,196,12,620,660,719,719,137,180,373,409,763,1795,207
72,262,17,704,684,709,710,148,197,422,435,833,1950,226
151,681,54,1994,1852,1842,1843,614,680,1125,1240,2074,3622,744
153,698,73,3241,3209,3204,3204,879,959,1739,2322,3737,7645,1094
207,907,52,3013,3166,3196,3196,689,794,1519,2614,4685,12080,851
103,600,38,1827,1922,1957,1957,576,702,1185,1797,3163,12000,728
289,1637,71,4212,4005,3892,3892,884,1074,2103,3541,6317,19483,1179
117,533,36,2245,2595,2714,2714,330,395,781,1347,2871,15886,491
84,343,29,1201,1329,1336,1336,215,263,549,875,2255,12523,275
58,216,24,874,914,933,933,145,193,404,532,1309,4978,222
50,193,21,787,797,797,797,111,146,390,416,970,3168,217
42,106,17,663,689,697,697,97,136,339,361,764,2180,161
40,104,15,695,793,782,782,131,171,357,360,779,1928,194
49,133,18,570,597,619,619,159,191,418,411,870,2173,247
110,608,27,1601,1516,1479,1480,621,689,1360,1614,2858,4132,824
157,759,53,2990,3186,3223,3224,1375,1541,3009,4333,6784,10716,1766
255,1069,64,4169,4332,4364,4364,1806,2039,3673,5800,9561,21775,2172
380,2131,72,5271,5182,5092,5092,1724,1958,3427,5617,9047,24716,2161
242,1451,90,4455,4516,4530,4530,1766,1982,3773,6338,10180,31339,2179
140,688,56,3316,3676,3789,3789,856,943,1830,3371,6142,27064,1102
89,419,42,1730,1828,1855,1855,459,474,957,1638,3374,17942,594
71,310,34,1188,1231,1243,1243,339,373,722,1005,2087,6389,457
59,239,29,930,960,964,964,266,320,589,742,1608,4077,334
50,166,22,923,1011,1018,1018,206,249,480,553,1276,2993,269
73,240,25,918,936,934,934,223,244,531,644,1311,2560,320
48,112,17,703,806,852,852,164,213,443,515,1211,2660,256
140,570,35,1823,1717,1653,1654,699,759,1364,1729,2781,4661,835
252,915,72,3655,3668,3616,3616,1328,1416,3305,4956,6810,11910,1760
166,741,52,3158,3465,3553,3553,810,881,1582,2739,4301,14410,1033
68,322,36,1695,1803,1826,1826,600,699,1264,2267,4049,15222,842
98,445,55,1719,1795,1767,1767,979,1147,2427,4161,6546,19585,1360
46,215,35,1096,1326,1377,1377,553,615,1236,2507,4956,20827,724
39,158,27,845,847,862,862,322,362,726,1289,2755,10342,396
38,138,22,824,836,850,850,208,275,561,862,1878,5617,327
32,117,17,645,680,685,685,176,207,486,633,1386,3404,227
32,111,14,632,631,631,631,120,162,412,530,1118,2425,218
34,119,13,659,657,668,668,144,167,415,445,999,1867,206
51,199,16,714,750,737,737,315,365,663,835,1503,2453,409
94,428,45,1201,1156,1135,1135,599,642,1081,1647,2323,4228,729
183,796,46,2187,2171,2147,2147,981,1102,1814,2990,4770,10002,1261
292,1329,61,4440,5244,5244,5244,2084,2551,6560,10290,13496,28259,3004
361,1808,62,4761,4766,4766,4766,1741,1956,3811,5582,8812,27856,2166
200,961,48,3516,3671,3671,3671,1036,1132,1961,2696,4903,23157,1226
100,428,41,2234,2362,2362,2362,652,756,1567,2459,5645,21996,847
76,304,29,1074,1110,1110,1110,405,454,854,1249,3030,10766,499
58,233,24,883,894,894,894,300,331,572,809,1823,5139,359
51,187,20,851,847,847,847,239,265,460,652,1082,2927,287
42,112,15,644,662,662,662,163,184,342,497,733,2027,202
55,159,14,506,501,501,501,168,191,367,517,790,1791,211
38,86,9,665,672,672,672,139,159,316,464,868,2051,176
101,345,18,936,909,909,909,329,357,570,764,1423,3059,381
245,860,37,1871,1783,1783,1783,608,647,1110,1399,2207,4424,700
502,1656,52,4118,4087,4087,4087,1197,1319,2375,3365,5057,10368,1439
269,1178,41,4387,4574,4574,4574,1056,1188,2272,3322,6316,16389,1311
224,883,54,2737,2720,2720,2720,1140,1276,2516,3621,7135,22076,1416
131,488,57,2604,2712,2712,2712,919,1095,2524,3961,7960,24613,1256
80,327,37,1374,1406,1406,1406,425,485,983,1467,3344,13714,542
65,249,27,983,998,998,998,293,330,610,898,1841,5853,361
58,218,21,890,896,896,896,206,231,414,597,1124,3231,251
53,169,19,747,755,755,755,135,154,291,422,823,2279,170
44,151,19,680,687,687,687,167,185,312,424,678,1759,199
38,101,15,506,507,507,507,139,158,310,451,697,1796,175
65,220,21,843,823,823,823,283,311,568,780,1351,3525,340
163,718,25,1611,1582,1582,1582,340,381,718,1029,1592,5404,419
350,1288,78,3233,3017,3017,3017,1292,1427,2627,3743,5566,12393,1561
284,1791,167,5002,4910,4910,4910,2998,3354,6551,9525,14799,34547,3714
231,1838,126,6786,6771,6771,6771,1870,2183,4895,7426,13651,36962,2480
208,1050,115,5329,5422,5422,5422,1326,1504,3061,4513,10629,33531,1676
129,477,76,2737,2941,2941,2941,671,746,1374,1962,5360,18083,813
89,394,59,1493,1526,1526,1526,448,489,824,1139,2373,6992,524
79,332,47,1304,1316,1316,1316,321,351,588,811,1499,4075,375
62,261,43,1010,1027,1027,1027,230,252,425,588,1069,2872,269
42,195,37,899,905,905,905,201,221,357,487,868,2292,232
47,196,35,889,883,883,883,252,271,431,581,964,2395,288
50,210,38,1063,1044,1044,1044,330,360,607,838,1408,3541,386
218,1009,55,1841,1734,1734,1734,497,543,968,1363,2315,5879,592
340,1721,53,4123,4052,4052,4052,993,1072,1857,2582,4141,9982,1167
263,1247,82,4915,4988,4988,4988,1359,1525,2875,4147,7420,19684,1665
384,1617,129,4807,4912,4912,4912,1605,1874,4230,6431,11046,28336,2134
150,635,79,4044,4277,4277,4277,797,964,2387,3720,7983,23957,1118
145,552,59,2133,2276,2276,2276,449,535,1237,1897,5001,16628,608
104,397,45,1463,1480,1480,1480,298,339,688,1014,2167,6488,377
80,304,42,1185,1198,1198,1198,236,264,475,675,1276,3526,285
67,256,35,975,986,986,986,188,209,362,508,868,2217,223
80,244,30,984,981,981,981,137,155,271,382,680,1794,164
73,184,22,923,938,938,938,109,128,272,409,728,1923,142
192,718,44,1402,1306,1306,1306,403,429,691,932,1293,2646,462
302,1562,112,4442,4265,4265,4265,1237,1393,2737,3995,5040,8956,1539
173,774,72,4388,4545,4545,4545,692,847,2186,3598,6180,15822,998
184,712,67,2412,2405,2405,2405,792,872,1581,2180,5118,16088,952
219,1338,97,3631,3514,3514,3514,1216,1374,2782,4020,7458,20294,1533
125,689,94,4132,4368,4368,4368,1036,1259,3170,5021,10695,31883,1474
83,379,62,2229,2349,2349,2349,473,562,1321,2085,7039,25535,647
83,289,50,1297,1323,1323,1323,309,350,696,1043,2756,9152,388
58,252,44,1072,1083,1083,1083,228,255,480,703,1451,4245,280
40,213,36,1022,1021,1021,1021,195,214,374,526,973,2645,232
59,225,33,976,979,979,979,169,190,375,540,878,2142,211
64,410,48,1382,1305,1305,1305,419,448,726,943,1323,2739,479
129,656,54,2696,2673,2673,2673,629,680,1146,1579,2420,5558,732
319,2393,81,4062,3889,3889,3889,872,931,1469,1972,3043,7044,992
521,3022,80,5905,5832,5832,5832,1163,1235,1918,2498,3952,9397,1311
382,2456,130,6947,7242,7242,7242,2427,2650,4629,6385,9902,23071,2865
135,814,84,6765,7118,7118,7118,978,1109,2163,3287,8136,26294,1233
109,591,60,2547,2652,2652,2652,642,700,1197,1673,5718,20865,756
85,413,48,1482,1558,1558,1558,389,425,723,1027,3060,10671,460
65,331,40,1302,1299,1299,1299,265,287,477,670,1519,4699,310
51,276,34,995,1007,1007,1007,224,241,379,518,998,2795,257
45,221,28,996,1001,1001,1001,165,178,287,389,729,2003,190
33,172,21,727,744,744,744,129,142,247,350,608,1575,154
48,143,15,573,596,596,596,102,116,245,368,626,1592,131
64,257,20,614,615,615,615,310,329,515,614,911,2023,344
177,649,32,1588,1528,1528,1528,550,593,939,1302,1910,4188,634
306,934,33,1933,1972,1972,1972,605,620,941,1186,2918,6935,623
346,2251,46,4021,3907,3907,3907,1224,1350,2380,3296,6945,15206,1477
389,1530,56,4465,4594,4594,4594,1800,1949,3207,4312,9107,22341,2095
215,1142,55,3964,4953,4953,4953,1102,1239,2405,3580,9621,26222,1378
103,531,36,1901,2021,2021,2021,484,539,1006,1520,5942,18014,599
72,388,28,1127,1146,1146,1146,332,356,565,770,2323,6431,381
61,294,23,928,935,935,935,241,258,395,532,1246,3309,275
48,238,17,843,851,851,851,172,182,263,343,806,2149,192
55,256,16,669,674,674,674,107,117,201,281,640,1616,127
56,213,12,729,742,742,742,97,106,185,259,664,1613,115
92,447,23,945,853,853,853,402,430,721,890,1328,2498,448
410,1607,59,2303,2223,2223,2223,1271,1399,2528,3539,4837,8195,1523
510,2022,63,5409,5393,5393,5393,1224,1326,2226,3050,4856,11590,1426
407,1983,72,5072,5051,5051,5051,1120,1239,2269,3264,6065,16510,1358
231,1350,53,3542,3668,3668,3668,820,920,1812,2631,6382,20368,1018
247,1404,93,4254,4440,4440,4440,1300,1455,2814,4033,8420,24776,1605
122,632,60,2410,2634,2634,2634,636,779,1996,3249,8903,29984,929
98,453,44,1492,1540,1540,1540,409,464,930,1392,3814,12842,519
81,381,36,1236,1248,1248,1248,283,310,546,786,1739,5295,339
62,305,31,976,985,985,985,222,239,390,535,1055,2994,256
72,325,29,1019,1020,1020,1020,239,258,414,557,968,2500,276
173,463,34,1393,1335,1335,1335,537,560,821,946,1404,3111,573
136,456,46,2534,2536,2536,2536,728,811,1521,2259,3063,6061,899
275,1059,70,2730,2641,2641,2641,1271,1350,2164,2804,4257,9674,1413
277,845,72,3459,3538,3538,3538,1428,1613,3114,4497,7257,18033,1804
96,402,52,1939,1929,1929,1929,747,838,1646,2512,4930,18685,931
174,1002,65,2642,2607,2607,2607,1036,1163,2280,3287,5900,19012,1286
93,492,55,2701,2846,2846,2846,749,864,1825,2799,6301,24275,985
71,324,38,1289,1298,1298,1298,290,330,668,1010,2427,10400,372
55,252,31,1025,1047,1047,1047,222,241,410,582,1565,4778,260
46,186,25,815,833,833,833,181,197,339,474,1230,2793,214
35,118,20,690,698,698,698,146,159,266,370,993,1985,172
28,114,16,683,684,684,684,105,116,217,309,851,1579,128
48,274,18,831,828,828,828,211,223,365,469,1109,1892,232
136,777,26,1794,1705,1705,1705,652,692,1058,1353,2288,3524,729
186,1084,48,3086,3118,3118,3118,1157,1195,1719,2192,3882,7061,1222
309,1685,74,4656,4503,4503,4503,2433,2614,4033,5308,8035,14158,2798
84,505,48,2947,3241,3241,3241,1321,1447,2601,3585,7511,21170,1561
246,2218,93,4010,3797,3797,3797,2110,2353,4456,6307,11037,29990,2593
118,1059,75,5080,5291,5291,5291,1145,1326,2854,4517,8642,28933,1516
72,496,48,1881,2014,2014,2014,583,639,1118,1618,3654,20938,696
58,379,40,1232,1255,1255,1255,421,455,743,1025,2164,7093,490
47,305,33,1036,1071,1071,1071,322,345,546,746,1546,3956,369
37,226,26,804,815,815,815,186,204,349,494,1162,2458,223
27,153,19,737,742,742,742,124,135,226,317,926,1713,146
50,251,34,973,910,910,910,315,334,526,683,1476,2580,350
96,379,39,1272,1269,1269,1269,685,730,1186,1475,2723,5563,764
418,1766,71,3635,3412,3412,3412,1371,1488,2518,3524,5536,10613,1607
676,2796,87,5948,5892,5892,5892,2182,2417,4525,6410,9800,20809,2642
224,1062,76,5205,5401,5401,5401,1472,1637,3036,4351,8121,25759,1805
152,690,66,2120,2191,2191,2191,960,1088,2182,3280,6843,24424,1220
124,575,60,2114,2191,2191,2191,634,704,1304,1922,4173,16864,777
94,413,44,1251,1259,1259,1259,383,422,759,1093,2530,8721,462
82,415,35,1221,1238,1238,1238,324,348,556,764,1729,5017,374
59,275,28,904,935,935,935,221,239,384,529,1249,3078,257
45,206,24,755,762,762,762,130,143,253,360,953,1846,156
36,174,20,653,659,659,659,152,159,231,300,887,1588,166
33,146,17,554,559,559,559,250,255,300,340,973,1718,262
79,497,32,1559,1398,1398,1398,564,608,1050,1376,2414,3347,644
64,330,30,2143,2280,2280,2280,585,643,1122,1626,3362,7612,707
105,651,49,1662,1629,1629,1528,1393,1474,2319,2866,5179,10249,1535
136,1059,51,3586,3625,3625,3634,1143,1262,2203,3290,6249,19272,1398
89,596,51,1762,1803,1803,1832,921,1014,1842,2522,5124,19329,1101
103,679,63,2857,2783,2783,2734,873,988,1957,2969,5929,23273,1108
52,284,39,1383,1498,1498,1567,410,452,815,1191,2757,16107,494
57,324,36,1127,1133,1133,1134,399,427,660,890,1868,6547,456
38,200,26,843,853,853,859,256,273,418,562,1244,3733,291
30,142,20,755,761,761,764,173,186,290,394,995,2327,199
27,127,22,605,612,612,615,118,128,219,303,834,1846,139
42,197,24,671,683,683,654,224,239,373,488,1085,1998,252
35,277,28,903,868,868,843,314,332,524,676,1588,3806,345
151,945,54,2842,2653,2653,2506,1114,1256,2524,3392,5061,8064,1387
81,369,39,3420,3683,3768,3768,745,867,1907,3107,5637,16035,995
38,151,34,1280,1359,1384,1384,831,945,1986,2858,6066,21054,1052
45,200,59,1304,1294,1286,1286,1233,1416,3029,4550,8504,28162,1596
45,226,57,1738,1770,1760,1760,1047,1191,2423,3651,6725,24994,1340
34,124,40,1009,1080,1102,1102,531,590,1087,1613,3283,15733,651
34,100,33,695,708,714,714,324,357,638,924,1887,6486,392
34,94,26,767,772,767,767,230,252,435,617,1336,3440,275
36,94,22,679,708,714,714,147,161,282,403,1008,2214,176
19,58,18,634,674,675,675,127,140,257,363,916,1842,152
15,48,14,427,520,529,529,126,137,255,354,953,1885,147
30,171,24,770,799,773,773,375,407,710,958,1869,3289,435
73,506,36,2210,2155,2111,2111,853,944,1715,2411,3688,6854,1035
26,164,19,1133,1307,1366,1366,354,399,782,1164,2648,9473,443
89,559,28,1558,1421,1355,1355,827,898,1549,2097,3940,11423,963
131,817,49,1894,1903,1906,1906,932,1028,1874,2649,4861,16402,1122
59,447,73,2172,2299,2324,2324,869,979,1942,2823,5189,19683,1086
42,267,53,1360,1405,1417,1417,598,677,1336,2037,4375,17044,760
32,170,37,789,843,859,859,334,365,621,884,1797,7408,396
22,118,30,630,651,653,653,240,257,405,550,1226,3559,274
16,72,21,518,558,562,562,156,169,275,379,939,2191,182
28,96,19,406,455,455,455,116,126,219,302,776,1470,136
16,40,12,227,346,354,354,105,118,231,334,834,1631,132
41,163,16,307,344,336,336,161,179,342,477,1094,2070,195
78,360,14,1078,1098,1074,1074,227,244,402,555,1272,2261,261
168,1080,35,2035,2245,2152,2152,1469,1627,3125,4182,5383,6937,1762
84,621,26,4424,4692,4754,4754,856,961,1774,2867,5189,14345,1084
95,471,22,1583,1650,1675,1675,722,788,1357,1868,3353,13350,852
36,200,13,835,917,947,947,315,347,611,901,2117,11383,381
29,139,10,516,557,563,563,233,249,387,524,1272,5216,266
31,132,7,470,486,486,486,165,178,285,392,970,2708,192
20,87,7,382,417,416,416,115,124,206,285,699,1600,133
11,58,7,386,432,435,435,140,149,221,286,643,1091,157
12,52,5,313,390,388,388,94,104,190,267,625,1133,114
13,81,6,354,434,435,435,154,165,272,368,804,1378,175
50,296,15,704,667,631,631,387,405,581,723,1293,2272,420
167,655,27,1989,1889,1844,1844,439,474,767,1057,1818,4272,511
71,366,20,1210,1386,1430,1430,347,375,635,852,1750,6007,402
58,380,37,1638,1610,1585,1585,734,809,1485,2091,4622,15312,879
52,249,29,1025,1143,1185,1185,534,590,1092,1548,3814,19094,645
37,166,22,848,891,899,899,471,548,1196,1837,3882,16999,627
30,183,17,518,539,541,541,260,284,477,680,1584,8459,309
24,101,11,464,500,505,505,158,170,275,383,997,3747,184
19,51,10,376,412,413,413,109,119,200,279,725,2011,129
13,38,8,344,396,395,395,91,99,164,228,636,1482,106
10,27,6,257,340,343,343,98,103,150,194,527,1106,108
10,28,4,207,283,284,284,123,128,180,218,583,1082,132
25,192,14,575,541,508,508,243,272,540,764,1315,2377,300
124,657,35,2091,1978,1921,1921,812,881,1486,2040,3018,6231,947
78,546,32,1667,1845,1891,1891,602,651,1107,1497,2826,9436,696
131,648,43,2221,2232,2188,2188,921,1121,2864,4396,7421,22277,1316
158,724,36,2654,2658,2654,2654,964,1122,2507,3782,7830,25056,1279
62,251,34,1608,1816,1870,1870,724,858,2029,3238,7036,26272,996
42,145,21,743,800,825,825,329,369,709,1064,2270,11145,411
36,118,16,543,554,558,558,229,251,438,624,1363,4428,274
32,77,14,478,488,489,489,168,183,310,435,982,2463,198
35,70,12,425,444,442,442,130,142,249,351,864,1739,155
36,66,11,391,424,429,429,115,123,194,262,707,1359,131
44,160,14,447,473,470,470,194,209,345,455,1059,1587,222
88,727,39,1467,1312,1241,1241,510,546,872,1119,1933,3547,577
85,669,38,2792,2952,2967,2967,766,827,1371,1904,3657,9698,886
69,459,30,1662,1750,1786,1786,408,450,801,1138,2392,9180,494
77,564,26,1277,1236,1207,1207,508,554,986,1352,2954,11266,597
89,912,47,2043,2085,2075,2075,870,983,1983,2816,5381,19200,1087
60,460,60,2121,2153,2156,2156,935,1040,1945,2895,6254,23779,1153
42,350,41,1286,1370,1398,1398,416,458,813,1185,2594,12481,502
33,215,29,729,796,814,814,256,277,449,625,1410,5211,298
31,164,23,622,625,623,623,184,197,303,409,1002,2841,210
31,124,19,514,536,541,541,139,149,232,312,788,1793,160
26,74,16,404,432,436,436,93,105,204,295,685,1367,116
31,85,13,301,334,337,338,114,126,234,333,930,1743,138
47,226,13,462,439,425,425,188,206,368,502,1136,2234,222
107,712,22,1741,1631,1583,1583,279,303,510,707,1465,3439,326
226,982,28,1911,1937,1937,1945,784,848,1437,1783,3090,7295,900
313,1747,51,4120,4040,4040,3939,1369,1476,2467,3492,5929,16003,1582
277,1651,88,4728,4729,4729,4712,1804,2024,3965,5543,8793,27943,2230
134,651,79,3898,4072,4072,4152,1188,1419,3379,5395,8521,27532,1660
78,384,58,1823,1904,1904,1946,599,671,1275,1965,3964,17215,746
58,285,43,1134,1156,1156,1165,383,417,700,990,1999,7077,451
45,222,34,916,927,927,931,273,292,460,627,1295,3296,313
39,178,27,783,792,792,796,202,216,335,451,973,2016,230
34,126,21,666,674,674,677,142,154,249,343,801,1463,165
37,151,26,585,560,560,549,177,186,279,341,774,1377,192
75,290,32,1473,1428,1428,1412,412,447,754,1036,2062,3762,481
120,585,32,1553,1548,1548,1536,387,420,705,949,1999,4176,450
